"[run number]","AC","PM10-parameters","Scenario","scenario-percent","random-seed","[step]","number-dead","danger","Boramae_risk","Cheongnim_risk","Cheongryong_risk","Daehak_risk","Euncheon_risk","Haengun_risk","Inheon_risk","Jowon_risk","Jungang_risk","Miseong_risk","Nakseongdae_risk","Namheon_risk","Nangok_risk","Nanhyang_risk","Samseong_risk","Seowon_risk","Shillim_risk","Shinsa_risk","Shinwon_risk","Sunghyeon_risk","age15","age1564","age65","eduhigh","edulow","siminputrow"
1,100,100,"DEC","dec-sce",8554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,100,100,"DEC","dec-sce",8554,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
